participantId,task,num_wrong_attempts,correct,format
5755c957eb80c4000741a9ce,tutorial_quiz,3,1.0,json5
5795af044a84da00014c5df1,tutorial_quiz,1,1.0,json
57ca4b09993b08000192297b,tutorial_quiz,2,1.0,xml
588ab33542c8e900019d02ae,tutorial_quiz,2,1.0,jsonc
589cd166b2a7180001f0527d,tutorial_quiz,7,0.5,jsonc
5b3ec4332a5fbf00014eae57,tutorial_quiz,1,1.0,toml
5c4f5967aac8be0001716a65,tutorial_quiz,4,1.0,xml
5e5c993cd0394c474f7cc502,tutorial_quiz,3,1.0,toml
5ea90bb434d5e337e98c7edd,tutorial_quiz,4,1.0,json5
5ee4a14b578f8a000b384376,tutorial_quiz,4,1.0,yaml
5f7f239e9b204e05b6c36538,tutorial_quiz,6,0.5,json5
5fb4fcd1fce53c30649dd704,tutorial_quiz,6,1.0,xml
606c7d27f4f3ae688332a55d,tutorial_quiz,3,1.0,toml
6081728972120aa7f9685791,tutorial_quiz,4,1.0,json
6094ce8d0764c24f352d1fe5,tutorial_quiz,5,1.0,hjson
60e2bf0aa568b97e8d525872,tutorial_quiz,7,0.5,toml
60e2ebb6ad1d5ee0e515a7c5,tutorial_quiz,6,0.5,yaml
60e343946a7faddde88fbe3c,tutorial_quiz,3,1.0,yaml
60ec51c51a3158a50ded8a3e,tutorial_quiz,0,1.0,json5
60f70af563ef757f65e750e0,tutorial_quiz,4,1.0,xml
60f7c71d1cffec381351b0b3,tutorial_quiz,3,1.0,xml
611d0afbb2a19acfd012545b,tutorial_quiz,7,0.5,toml
61287939bc5a971fc15333e4,tutorial_quiz,7,0.5,json
613a541cf948d295c1df8752,tutorial_quiz,5,1.0,jsonc
61601e9a6b8306196d2a129c,tutorial_quiz,2,1.0,hjson
616e5ae706e970fe0aff99b6,tutorial_quiz,1,1.0,hjson
62d6d87d91cf24a3c1c0f10c,tutorial_quiz,3,1.0,hjson
62d7fef5538b81f205ba4656,tutorial_quiz,3,1.0,xml
63af557b3d4f219c3226b7d6,tutorial_quiz,3,1.0,yaml
645b519f108c046164a6d232,tutorial_quiz,2,1.0,yaml
651b29ff3a6cadf518640abe,tutorial_quiz,7,1.0,xml
65298aca34ac384b783169d4,tutorial_quiz,2,1.0,jsonc
6554e79557e3d6be08e32ceb,tutorial_quiz,0,1.0,yaml
65583ffa38bfc41805a553cd,tutorial_quiz,5,0.5,hjson
659960f32faa4ff4b116de92,tutorial_quiz,5,1.0,toml
65e85a421f2dee53c62fbf45,tutorial_quiz,9,1.0,json5
65f4ab7884f8411c9e11a34e,tutorial_quiz,2,1.0,json5
65fad6c874ac75642ffc254b,tutorial_quiz,9,0.5,hjson
