participantId,format,strict_check,loose_check,final_check,ted,norm_ted,similarity,gold_parse_level,part_parse_level,task_id
66475d6f7b27e4443ef0d031,json,1.0,,1.0,5.0,0.013020833333333334,0.9869791666666666,standard,standard,1
67e571bef6af7ecd9c29ad72,json,1.0,,1.0,5.0,0.013020833333333334,0.9869791666666666,standard,standard,1
60f1f1d4ac991a259b83f603,json,1.0,,1.0,3.0,0.0078125,0.9921875,standard,standard,1
673c13c9d37c8a73bc80b8ce,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
667ac09492ea0caadf488520,json,0.0,0.0,0.0,14.0,0.036458333333333336,0.9635416666666666,standard,fallback_hjson,1
67debe02a893eea51e8d02f2,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
615200d54efc832849db2259,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
66b0d065329001a04e5ae671,json,1.0,,1.0,5.0,0.013020833333333334,0.9869791666666666,standard,standard,1
5e3b5fa9255e7a37bc841135,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
5d30dfa68b1523000134878f,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
67cb01a82dda2577eb6ee320,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
67cd944859dabbd1d4552d39,json,0.0,0.0,0.0,192.0,0.897196261682243,0.10280373831775702,standard,extracted,1
57c357770e6a1f00015f6038,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
5f29eff59714081a3594a331,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
65be552ceed6a0595fa1feb5,json,1.0,,1.0,4.0,0.010416666666666666,0.9895833333333334,standard,standard,1
667983594f7d5d70a78c6e5a,json,0.0,0.0,0.0,192.0,0.9896907216494846,0.010309278350515427,standard,invalid,1
66b246951b9aefec80b7158a,json,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
67f5bb69760b211cdfe8021c,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
678bad003d15e6aba1ee5a5d,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
67f0c5d37f91ceae5cb3b318,jsonc,1.0,,1.0,3.0,0.0078125,0.9921875,standard,standard,1
67aee0dfad3492b61a9ba0eb,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
6734346ca8e90c2da6fb4509,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
67ab214c2cde1be7c45535ac,jsonc,1.0,,1.0,2.0,0.005208333333333333,0.9947916666666666,standard,standard,1
607728dc0b4f8590b94ae57c,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
5dafea4de40355001651fa2f,jsonc,1.0,,1.0,13.0,0.034574468085106384,0.9654255319148937,standard,standard,1
677d185800ab83d1b0185d82,jsonc,1.0,,1.0,7.0,0.018229166666666668,0.9817708333333334,standard,standard,1
6784ff2095dd9b97e969b01f,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
5ecc71c95c92c2000a9e9a19,jsonc,1.0,,1.0,1.0,0.0026041666666666665,0.9973958333333334,standard,standard,1
